Protein,A0,A1,A2,B0,B2,C0,C2,C3,D0,D2,D3,E0,E1,E2,F0,F1,F2
Positive Control,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69
Neg,1.0,327.87,1.17,0.93,1.07,0.87,5.71,1.16,415.89,0.96,1.13,0.88,1.13,1.1,526.73,662.16,741.6
6Ckine,8233.25,6540.51,20822.6,16600.08,21537.71,9805.66,5950.75,7129.84,10829.15,3668.28,10575.79,6838.24,24272.03,5894.19,33423.6,35845.19,55870.57
Activin A,5211.5,2847.08,14941.87,4769.22,17488.72,6283.21,626.49,6104.79,4110.16,0.96,7468.3,819.38,10458.75,1095.93,42979.06,51629.06,78765.04
Activin B,4331.0,4669.5,14833.11,4933.58,14528.96,4628.24,678.29,3196.08,0.93,0.96,3230.71,463.99,26545.27,359.06,37984.97,49957.32,80244.06
Activin C,7318.5,12630.59,13884.07,12736.58,11672.55,6118.81,5224.78,6066.51,3247.86,4275.24,5380.66,7601.33,12059.67,3964.23,51897.05,65090.88,103483.69
Activin RIA / ALK-2,7734.75,11560.72,26955.94,8405.88,19072.62,7051.89,7270.77,9719.58,4575.87,5256.6,8703.0,9660.38,13795.78,5643.6,39796.36,43796.39,73852.86
Activin RIB / ALK-4,5376.0,10905.57,18091.86,7626.05,14271.1,4191.87,4638.13,7899.43,4316.85,2677.29,6653.99,7169.13,9500.79,4130.1,42012.99,42730.4,70282.24
Activin RII A/B,13104.75,26469.02,13861.85,11152.67,2677.93,13952.93,18013.77,8506.05,6601.29,13159.91,4556.77,26747.71,19926.52,11216.81,67971.96,68411.07,77568.45
Activin RIIA,21467.5,32326.07,87686.19,10600.14,94786.64,16324.99,16998.72,126475.51,12257.13,13174.83,84051.39,15408.62,65746.6,62069.34,65195.28,72483.34,119452.5
Adiponectin / Acrp30,26745.25,55999.77,95903.25,44026.21,105929.63,36717.45,42522.06,88900.31,33912.17,58172.14,133783.08,2194.8,99523.09,31640.73,77896.67,99986.98,112962.15
AgRP,3589.5,4586.89,13078.59,5289.58,10105.97,3880.55,3490.08,6559.18,6208.91,9989.53,24427.39,1038.35,16643.96,4640.67,22036.24,22568.12,31661.2
ALCAM,6386.0,4409.0,14203.93,1323.74,11527.37,1340.81,307.15,5248.5,757.66,0.96,3139.92,596.88,10895.11,1.1,45619.12,34852.36,74971.33
Angiogenin,6430.5,7079.04,32274.15,2990.88,16930.38,3243.92,7030.23,10312.0,3641.87,4664.8,8662.96,3363.39,16033.74,2006.4,37868.86,38436.6,72716.74
Angiopoietin-1,23937.25,41161.4,51232.02,20478.27,53853.2,20698.75,30501.05,45983.53,19971.32,28296.72,51211.7,30865.14,78180.81,38965.34,60108.29,66187.12,95847.07
Angiopoietin-2,25633.75,28655.88,129289.58,27522.41,153793.52,52596.23,40797.81,232097.95,29470.12,12580.87,120511.75,19969.73,349310.37,91193.09,118013.12,112338.67,139353.62
Angiopoietin-4,807.5,0.85,7991.94,1889.32,7581.21,4399.56,0.87,423.94,0.93,0.96,1.13,399.09,14942.56,1.1,25992.65,29168.44,54213.9
Angiopoietin-like 1,73454.5,188762.33,196703.12,86508.6,189580.48,101180.51,139257.84,210321.02,82035.64,93815.29,149697.8,112531.15,249864.89,104463.78,36076.43,41732.67,49848.93
Angiopoietin-like 2,852.0,0.85,6366.07,1216.03,6257.29,1441.16,0.87,215.74,0.93,0.96,1.13,92.71,22088.27,991.89,16715.86,18707.17,47347.21
Angiopoietin-like Factor,11423.25,21398.32,13592.58,8039.16,4159.27,7075.94,14319.07,6660.38,5362.49,10597.46,4604.42,17811.13,22236.45,14692.28,43136.2,49530.18,65658.5
Angiostatin,27895.0,26466.69,148578.41,31572.18,137288.54,53328.61,36766.35,146053.57,43408.64,20055.14,123457.39,19976.57,157070.06,85632.29,88164.69,88149.9,143168.36
APJ,4012.5,9130.05,17982.52,1248.67,8345.99,2337.08,477.16,1649.94,0.93,0.96,1.13,0.88,8832.43,1.1,14369.96,15361.23,27549.0
APRIL,16428.0,41701.41,108197.12,17367.79,95441.14,34932.4,18812.01,145672.55,16321.74,12622.04,80228.01,14567.39,113373.91,78708.13,104199.35,115787.61,149575.72
AR (Amphiregulin),376.0,803.25,11866.13,832.75,8465.86,0.87,0.87,306.5,0.93,0.96,1.13,0.88,16992.54,1.1,29953.32,33323.68,56922.56
Artemin,6804.25,11813.4,25988.2,7573.83,14803.33,2582.59,1929.09,6794.92,3166.58,1382.22,7471.12,1645.38,7297.56,1898.77,52221.79,54260.52,69530.71
Axl,2904.5,1711.08,19428.58,8655.1,21514.8,1530.58,0.87,2746.04,8451.77,0.96,6761.7,646.54,16123.21,1363.08,22947.35,25138.27,22762.64
B7-1 / CD80,6390.5,8265.96,26246.94,11355.5,31222.79,3705.65,2239.29,8860.4,2454.23,1257.27,7235.68,443.24,13567.44,3111.44,51433.76,54771.85,40020.44
BAFF R / TNFRSF13C,1818.5,861.35,4071.55,1398.34,4939.5,1152.8,1561.64,638.23,757.66,0.96,1.13,773.47,1.13,1.1,47652.68,12076.6,13851.31
BCMA / TNFRSF17,5163.0,6872.84,18466.97,7623.25,16584.62,7053.64,5615.74,7020.23,7370.39,5295.36,12598.01,6167.2,14425.76,2847.05,51748.43,54144.85,78507.02
BD-1,17745.0,25428.72,31990.85,17295.05,19015.35,11826.17,12883.24,10534.12,12192.43,15121.89,17093.88,23882.31,43195.44,15792.08,61244.67,58978.6,91073.1
BDNF,33385.75,61125.82,163551.56,27789.35,175176.19,119402.93,63061.37,242632.35,57158.43,33982.84,139363.09,29467.64,579177.33,143356.54,215646.96,239804.36,258610.07
beta-Catenin,1989.5,3238.35,9364.91,1393.44,8131.28,2115.61,0.87,1.16,0.93,0.96,1.13,0.88,3682.51,1.1,26923.12,30957.08,75078.74
Bax,3458.5,9996.26,10517.14,6286.46,5135.56,3131.33,9497.0,2521.31,2044.1,4109.6,3675.08,11330.92,14124.04,3949.05,74181.78,69593.55,91433.65
beta-NGF,3207.25,7549.96,21319.63,11886.57,22246.82,7179.35,2977.44,6534.82,8308.83,2462.29,10350.78,4297.11,15504.8,2042.28,42131.42,46578.68,69870.61
BIK,2042.75,481.7,19031.54,5020.08,14943.71,5509.29,8644.77,13609.27,3057.28,0.96,1.13,535.73,1.13,1.1,37228.68,46433.58,61151.95
BLC / BCA-1 / CXCL13,6768.0,17681.01,11122.34,9889.55,5122.51,6772.05,9934.1,2510.29,5295.0,7536.87,2094.41,7767.77,2495.65,994.65,50021.8,59227.93,51463.17
BMP-2,4371.25,6160.44,13437.33,7369.37,20101.38,6493.75,3726.48,7228.43,3388.93,4697.06,10409.43,4317.86,39725.46,3336.09,32139.76,37692.28,32660.99
BMP-3,15611.0,33867.08,56229.21,20366.83,57054.56,23072.56,24451.04,51079.21,17720.99,20677.76,34541.05,34703.11,61673.74,32284.32,101273.26,96675.38,227811.94
BMP-3b / GDF-10,1.0,0.85,2851.19,1054.7,7091.6,0.87,0.87,762.05,0.93,0.96,1.13,0.88,8570.78,1.1,24975.49,26590.93,40162.41
BMP-4,510.25,0.85,14976.37,2061.37,16783.61,0.87,0.87,3072.55,0.93,0.96,1.13,0.88,17210.15,335.6,27172.76,30066.85,44227.66
BMP-5,5016.75,34241.45,11383.14,11289.05,5583.08,6597.16,19841.21,6598.32,4346.98,20152.89,9297.09,19410.16,12359.98,9037.09,46160.99,42954.39,51718.93
BMP-6,9625.0,6388.61,24933.62,14229.81,32287.78,10370.15,14307.75,12781.98,14910.11,2694.39,16763.98,8739.46,36307.99,9110.51,15831.84,12881.0,22039.65
BMP-7,2580.5,4682.81,13172.74,3401.89,8106.51,3901.76,4568.69,2946.7,2406.58,1389.45,888.18,1328.4,2837.17,607.99,73844.27,51087.07,130939.55
BMP-8,10015.25,15626.62,10652.8,7167.01,4223.74,6598.03,13971.87,5277.79,12044.36,17199.2,12808.63,7059.42,19501.17,6779.82,31306.44,32016.53,34926.48
BMP-15,2873.5,1963.55,11027.62,4396.68,9047.1,6452.43,790.62,5214.28,1516.26,0.96,1966.96,46.13,8073.46,1128.22,56554.41,61408.55,99879.65
BMPR-IA / ALK-3,430.0,0.85,5134.02,686.81,4147.82,138.61,0.87,1.16,0.93,0.96,1.13,0.88,4218.78,1.1,13657.02,15691.49,39414.26
BMPR-IB / ALK-6,724.75,545.5,1.17,857.93,1.07,1564.9,1025.28,144.7,110.24,0.96,365.7,309.47,73.1,1.1,61731.58,75804.75,105250.78
BMPR-II,1676.75,505.99,10853.36,3425.21,10467.44,8205.34,1030.94,8631.61,4013.93,0.96,1.13,3637.1,26708.97,6562.35,38555.87,49277.99,72106.8
BTC,11021.0,20756.48,18414.93,8254.81,15837.69,11030.39,12830.35,5769.0,7304.53,14952.39,9024.72,15475.5,19411.13,6706.96,24152.23,26653.06,40769.72
Cardiotrophin-1 / CT-1,689.25,0.85,7611.27,2232.73,7233.84,1135.53,505.02,1136.11,121.22,0.96,1.13,253.41,28281.67,1.1,27501.37,54890.8,42690.05
CCL14 / HCC-1 / HCC-3,3318.0,8675.61,20006.89,2500.36,16074.23,9288.84,1874.45,5905.0,2200.58,249.67,7850.64,333.54,13493.49,1.1,41577.94,50923.17,36204.94
CCL28/ VIC,11322.5,5567.4,22905.15,12419.75,27441.25,10803.46,12019.05,11172.06,11359.8,8307.55,4653.76,11574.62,25124.14,6123.53,55752.06,66000.73,63759.21
CCR1,2039.5,4115.55,8148.36,3435.23,8013.54,7566.97,1662.0,2082.87,1143.27,0.96,4752.17,3017.49,30302.85,3467.46,35277.95,38024.18,79288.22
CCR2,3443.25,3601.32,9044.47,4111.55,8652.32,3597.65,2340.73,5645.76,2360.1,403.28,9657.72,6604.7,40113.84,10366.51,67389.07,78749.31,77465.92
CCR3,8118.25,16779.73,15783.89,9285.73,10624.61,9008.56,11704.5,5097.13,8316.07,11672.23,7012.65,7941.05,10283.47,3906.0,52145.54,57278.24,61326.96
CCR4,9414.5,10814.3,22297.02,14243.56,17940.77,11722.98,12307.26,8365.41,11324.3,8143.11,11491.6,12956.88,15077.76,6546.89,35382.45,30606.38,33187.55
CCR5,4831.25,7898.13,18587.14,8164.36,11728.23,6887.05,9577.75,5480.77,6006.41,2936.35,5123.79,4692.45,9054.28,2523.6,40191.15,34650.45,38491.09
CCR6,13438.5,9885.77,23327.63,7521.61,19233.78,4218.54,4664.69,8924.77,8521.6,3018.21,11899.87,8099.54,12907.83,7419.28,32162.98,28060.35,39402.24
CCR7,52763.0,124264.21,189972.76,45360.43,193556.22,124133.27,57160.69,221955.87,94881.1,58473.09,171303.33,55498.84,267985.87,119790.27,97210.02,108369.81,105058.49
CCR8,13177.0,24259.76,54667.37,14945.76,57573.21,20374.53,9514.41,57504.13,26743.33,11750.72,45675.96,7395.61,82576.84,37815.59,40104.45,46172.8,64208.02
CCR9,24247.0,68832.13,101108.32,26514.81,101518.89,57324.82,23028.28,112385.17,48502.31,22733.4,86428.04,30938.86,184925.25,55342.51,27615.55,36995.38,47485.8
CD14,5135.0,4940.56,18262.61,5057.61,10400.58,10503.72,2442.17,3019.19,10607.51,1931.89,6008.02,5196.39,17264.91,1993.71,48731.77,56966.78,84553.07
CD27 / TNFRSF7,4876.0,6434.45,15870.44,3304.44,5630.5,4139.18,1342.66,644.61,1857.25,1261.12,1573.34,884.06,1601.76,1.1,66877.39,73614.73,119671.09
CD30 / TNFRSF8,15586.25,20675.35,20236.11,14779.3,11255.4,8001.81,15721.81,7797.07,12855.5,20149.04,10621.18,17583.77,15739.92,5856.93,36326.47,43064.75,47690.86
CD30 Ligand / TNFSF8,2103.0,1622.77,9371.63,3540.61,8248.49,2060.74,1302.17,1408.98,1849.08,2448.57,1.13,1395.95,3789.2,303.58,43981.13,54703.59,55698.93
CD40 / TNFRSF5,2040.0,4256.68,14329.94,3233.8,10629.14,7475.8,1592.34,6292.69,1753.32,609.37,10612.44,7899.33,35966.47,9987.86,37324.28,44237.01,27289.86
CD40 Ligand / TNFSF5 /CD154,33536.5,57030.35,127493.85,33743.83,92827.41,49709.32,29914.19,64176.69,24521.73,27499.32,72185.35,38185.69,180835.17,47702.99,88119.4,149215.1,79588.68
CD 163,16769.75,21247.68,16093.51,19182.97,15301.46,15055.23,20476.18,6842.19,11740.26,14110.92,6850.8,23733.31,29460.34,20487.94,12150.24,16027.48,18125.38
Cerberus 1,1468.0,419.58,4539.63,2482.18,4718.14,2781.97,1144.13,11.31,649.29,0.96,1111.21,3459.41,17926.5,1008.45,21840.39,26308.08,28435.37
Chem R23,4810.25,6374.24,9895.56,2019.87,4031.14,3058.75,1791.08,1.16,754.39,0.96,1.13,773.91,21125.8,1.1,20803.87,25362.26,27897.54
Chordin-Like 1,5346.0,15730.78,10974.7,9606.76,1513.31,8130.79,11112.63,1407.24,5932.14,8337.41,2406.25,11331.37,6059.33,1282.22,54193.8,52614.94,44936.0
Chordin-Like 2,23136.5,42060.99,24300.93,28528.39,19856.05,26852.32,38506.72,14937.06,29134.5,35209.53,17422.36,28925.07,17944.85,6691.78,55015.89,44028.15,44626.15
CLC,17783.25,32740.16,28388.85,18449.07,20608.57,17777.74,23366.77,17819.67,19335.11,23537.79,16633.15,27904.16,32537.42,15606.89,44383.66,31064.58,10427.17
CNTF,41681.5,100643.33,139403.25,37673.07,150530.88,63783.8,49220.11,165610.47,71444.25,40943.08,137388.8,35760.0,189030.57,67142.48,119303.15,116939.02,165922.74
CNTF R alpha,6837.75,12096.71,22435.02,8639.72,11707.18,7596.7,6890.05,7913.35,5201.34,7947.61,7768.87,6015.33,9946.18,12076.23,45300.19,46548.02,46590.42
Coagulation Factor III / Tissue Factor,3681.75,4526.68,18410.84,12553.8,19778.79,13365.06,2552.09,14305.21,8867.73,7333.42,11561.24,1870.75,19082.6,2915.77,43712.52,55387.41,143375.68
CRIM 1,7847.0,6686.5,18807.88,10078.15,13413.62,8322.96,2429.98,8001.79,5823.54,761.78,8117.37,4485.18,17757.43,4828.06,33432.5,44823.55,89520.08
Cripto-1,5902.5,19295.96,23317.1,12901.17,20226.05,11888.26,7258.58,9610.55,7588.77,10082.7,17558.26,14496.09,22108.31,7340.9,25979.1,35006.87,50647.04
CRTH-2,2852.0,12675.17,9636.81,8839.28,14471.68,16812.3,12065.63,15263.28,9831.86,10760.45,10155.38,9131.71,14809.9,4263.95,90084.06,103389.32,119340.58
Cryptic,11854.5,24282.79,20262.13,11975.4,15329.17,11495.18,16273.41,10733.33,30172.43,28841.09,31838.73,15836.19,21905.94,9415.74,44436.3,56704.78,69391.37
Csk,1332.5,0.85,9081.02,4409.96,16344.08,2020.07,2609.13,2999.47,1339.92,0.96,1.13,801.5,15842.94,2418.72,24770.35,26629.35,61362.27
CTACK / CCL27,2291.0,8561.1,36193.67,6547.34,30218.27,23416.67,8255.12,35204.97,5266.73,5656.99,64940.65,4371.5,150902.07,24703.87,71446.5,78083.06,165647.82
CTGF / CCN2,729.75,0.85,4847.79,2070.93,6041.52,1344.97,0.87,1.16,248.97,0.96,1.13,181.01,8666.18,1.1,16153.87,20449.62,54026.86
CTLA-4 /CD152,16841.75,29243.85,22910.12,21878.93,19212.73,19206.43,25201.17,12937.41,21713.43,28666.06,13865.42,26400.93,16796.66,10033.95,38219.52,44599.97,46848.82
CV-2 / Crossveinless-2,8076.0,11794.38,11665.57,13970.33,12628.06,9395.53,9378.58,3858.95,7486.7,9288.43,4146.23,13408.51,14988.29,4329.91,66333.2,65340.62,97563.08
CXCL14 / BRAK,18284.0,44750.25,105443.87,29844.66,74409.02,43319.85,49492.43,94568.69,36755.27,38804.62,95849.2,21690.38,111064.27,88037.77,61075.92,54699.51,102640.89
CXCL16,688.75,94.86,12748.51,3818.27,10699.99,2059.86,1781.5,2922.63,751.82,0.96,1600.97,652.06,3938.22,1.1,38731.97,25630.8,78015.39
CXCR1 / IL-8 RA,43974.0,105958.05,88531.72,47094.95,108230.36,69228.16,86139.28,104690.47,71344.99,88854.35,74994.53,57713.95,88025.95,45578.75,49339.43,46759.34,69421.04
CXCR2 / IL-8 RB,26168.75,107958.78,139325.19,42760.06,175393.56,49859.95,42771.96,162470.07,63699.23,42063.36,135221.65,47710.76,211966.99,78129.67,68860.63,73258.3,120867.68
CXCR3,4706.0,6683.33,20163.89,10857.05,19629.09,5579.47,2534.46,6574.25,6302.33,168.78,6230.77,2001.21,16910.4,2706.85,35168.42,42565.27,71766.9
CXCR4 (fusin),13570.25,38392.07,23543.98,18800.4,26854.41,18112.88,16434.49,19726.24,19740.33,14603.77,21337.67,18720.35,35906.35,12918.26,29031.76,37867.22,43770.58
CXCR5 /BLR-1,11868.5,15570.42,26608.61,12772.25,28162.87,14438.93,10520.97,20632.4,13533.76,15911.11,19639.14,20925.3,38639.37,13471.88,37022.77,46627.32,67912.34
CXCR6,16421.5,32168.46,32588.45,20648.45,33213.19,20865.78,25447.58,23957.52,21613.93,26581.76,23288.84,40554.87,38414.13,13435.17,36942.26,48462.15,66056.24
D6,8187.75,7300.45,54964.71,8718.28,49631.32,11238.73,10972.44,34544.41,7666.78,3304.72,12997.83,6785.05,33273.25,15311.04,66050.65,84146.3,159212.29
DAN,1253.75,1201.92,2617.59,1341.69,2476.28,4616.87,0.87,1.16,4337.64,0.96,1.13,9250.47,20648.23,1.1,51440.34,59918.29,120148.83
DANCE,419.5,0.85,4889.31,1911.47,4407.54,4721.81,0.87,1.16,1039.33,0.96,905.09,6805.8,15214.93,1.1,33789.36,40674.85,91676.28
DcR3 / TNFRSF6B,10089.25,18150.24,21766.66,13869.15,15267.1,10291.44,13028.65,8371.21,11125.31,13324.83,8742.48,11883.21,8584.33,4517.58,30435.2,35121.31,72102.29
Decorin,7084.25,4866.4,19838.48,5981.75,13673.61,8929.2,1627.17,5258.07,4069.05,401.59,4120.29,2412.89,18026.98,3436.55,47218.79,52664.4,92399.26
Dkk-1,3268.75,2058.41,13789.05,2237.15,11112.35,2308.44,966.5,1638.63,188.48,0.96,1.13,87.85,9345.28,1.1,41152.19,43881.82,64899.08
Dkk-3,2892.5,3384.98,17299.25,7858.02,18493.77,4654.91,3850.56,6160.17,5412.47,3232.49,3825.08,8021.62,19055.22,3200.31,61770.28,64205.96,100639.81
Dkk-4,16518.5,33440.73,17993.92,19475.56,22179.15,18851.39,22259.43,9401.19,24880.01,25152.11,17343.41,25322.85,25977.38,10349.4,43551.12,42761.06,61341.99
DR3 / TNFRSF25,710.5,0.85,3359.33,2640.48,5492.24,1818.94,146.06,1.16,232.39,0.96,1.13,0.88,1.13,1.1,21336.07,13194.91,60278.35
DR6 / TNFRSF21,1.0,0.85,8304.48,1193.65,12115.28,800.81,0.87,550.37,0.93,0.96,1.13,0.88,18621.12,757.85,33335.35,22515.8,75011.52
Dtk,7239.0,8596.17,15736.82,13383.06,19890.14,6266.6,1884.25,3667.86,7087.09,3493.48,6975.71,4545.66,10133.03,2242.65,37576.63,37740.92,69722.25
EDA-A2,3890.0,5750.15,18792.09,9610.72,12524.17,4842.71,2604.12,6204.25,3028.55,4543.45,12711.92,4064.67,27311.01,8841.15,35317.04,42027.78,48746.99
EDAR,3870.5,1843.33,14034.35,7126.68,13143.24,7027.19,1759.52,3490.98,3808.87,0.96,2160.67,266.43,7739.56,1039.08,56249.03,69159.88,119068.29
EDG-1,13088.0,30518.44,52537.74,31346.04,54590.01,23840.36,21204.33,27811.25,29427.38,21446.75,30235.79,24401.93,52765.95,16883.59,45950.44,58402.68,112463.38
EGF,5413.25,8653.64,13043.51,8375.11,11288.7,6288.02,7087.92,3503.74,3964.41,4021.48,3884.86,7372.65,3771.13,1289.67,61002.38,72158.8,161954.39
EGF R / ErbB1,5343.25,1133.04,9681.54,5863.32,21458.06,5486.12,5474.46,6612.53,5244.55,62.12,6803.71,4999.94,44281.82,2664.9,37396.27,46705.39,90958.92
EG-VEGF / PK1,29924.0,83138.73,75118.37,42442.76,70157.58,43695.66,58626.99,30378.67,46277.66,77293.84,86661.22,43602.83,43065.04,13043.28,59853.23,73586.52,152256.59
EMAP-II,14250.0,18650.96,31788.82,20196.17,27478.01,21638.39,11781.78,23013.08,15432.12,9005.77,15182.46,19815.87,36430.77,12805.93,50630.24,54339.0,97062.44
ENA-78,3861.0,4633.79,15960.78,3180.18,10913.37,8142.16,1139.34,1640.95,1392.71,0.96,3003.73,3216.82,27440.84,1.1,25672.17,30374.22,66132.86
Endocan,683.75,0.85,2838.62,2197.99,6400.07,2548.05,1140.21,1.16,486.74,0.96,1.13,339.72,1.13,1.1,19386.5,24294.63,79778.72
Endoglin / CD105,9193.0,13581.52,14350.11,14815.67,11560.67,11856.56,4388.02,6176.12,6274.54,15470.28,6911.42,12806.34,13679.5,5062.65,35581.4,43413.81,54284.88
Endostatin,2024.25,921.56,13261.62,5205.18,15712.22,2196.06,2326.58,3219.85,1408.36,0.96,1.13,1710.72,4172.49,1806.31,56005.58,65270.73,131866.48
Endothelin,20293.75,47292.68,27833.64,31122.47,24149.84,23361.36,30606.63,21187.12,28733.48,44223.49,16566.33,33517.97,19589.52,8851.91,48548.31,43627.17,71759.01
EN-RAGE,541.75,27.89,2660.28,1477.84,8815.35,2674.41,1522.68,517.31,664.24,0.96,1665.82,559.57,5886.59,1.1,36794.41,29978.56,79122.21
Eotaxin/ CCL11,2139.0,1510.37,1783.75,2454.44,2923.0,2534.93,230.52,1.16,1412.56,830.63,1.13,753.38,2538.83,1.1,23037.15,18654.85,55402.23
Eotaxin-2/ MPIF-2,7459.5,10910.85,18181.04,11704.03,17418.39,7063.26,6717.42,6346.92,5843.62,4317.62,7148.27,7287.89,13809.61,2098.03,49820.92,55311.39,98880.98
Eotaxin-3/ CCL26,7334.5,10210.07,21861.68,6437.07,15161.35,3173.96,3379.28,6315.02,5057.47,1199.49,1932.84,1904.53,7759.88,1795.55,52629.35,58911.15,118367.08
Epiregulin,8461.75,3210.25,17656.23,8499.37,15557.99,5923.36,4061.06,10305.91,6665.28,1487.68,4904.71,2571.6,9151.09,8517.69,20205.5,24213.29,59848.32
ErbB2,7200.5,16170.64,9275.15,11009.06,9331.86,8453.04,14730.27,4946.93,9466.11,20899.26,13282.05,15078.84,20924.84,7061.88,23337.5,30986.51,36507.28
ErbB3,8432.25,14293.93,31233.02,9183.38,20964.46,12374.91,6012.57,6960.21,8674.35,12044.21,13990.33,11606.85,19680.12,3822.65,67924.74,79531.22,157126.71
ErbB4,12790.75,3964.28,17317.96,13737.66,25262.52,8829.29,1395.77,5643.44,9522.16,1832.21,14253.4,18588.13,21585.86,7883.48,35664.23,43739.99,88501.89
Erythropoietin,24690.0,54165.73,43795.58,34901.57,29212.15,29124.69,48875.52,16671.09,34232.37,45568.39,27832.64,32820.21,36514.6,13857.98,32461.01,38932.4,48546.05
E-Selectin,9830.5,23432.01,18436.86,17276.17,19661.85,13538.21,9691.17,8519.97,7691.53,6802.06,9413.26,12282.31,21049.87,6542.75,30662.78,39494.0,61282.27
FADD,342.0,0.85,1.17,3517.53,3433.39,848.69,243.15,1.16,26.16,0.96,1.13,128.69,1.13,195.4,48987.61,63219.67,135978.3
FAM3B,11591.0,21793.18,10798.69,15586.88,13677.07,13355.22,15288.4,8333.52,14094.76,15237.94,9014.29,17343.83,16449.49,6060.06,62245.19,65153.83,109185.71
Fas / TNFRSF6,839.75,0.85,1.17,4020.63,10366.22,719.27,248.81,1.16,475.76,0.96,1.13,827.33,31896.15,1.1,15899.58,17852.91,51026.37
Fas Ligand,8312.0,7156.58,17245.74,5260.44,11796.95,3828.3,2893.2,4937.07,3205.35,1396.91,8341.25,5383.8,38124.26,9481.7,36762.67,40389.14,98355.93
FGF Basic,10118.5,12385.94,15327.21,15232.05,22088.05,9441.87,8748.61,9047.43,9886.28,8004.43,8012.48,12263.98,13329.51,3917.32,56346.57,51164.32,132477.17
FGF-BP,6531.75,15184.22,11601.83,11920.61,11473.83,9991.71,13909.61,3247.69,10520.86,11203.7,6739.15,11728.25,11544.28,1939.06,46693.96,28521.81,63457.99
FGF R3,4776.5,7286.93,19032.13,8861.43,20614.17,8441.02,4496.64,6718.95,5554.48,4940.47,7789.45,6749.73,17748.4,4140.03,65530.07,46689.04,95899.27
FGF R4,28351.5,96110.52,169241.96,54252.17,206422.69,28932.52,34747.8,277356.25,52352.04,27213.77,106820.3,43270.17,318885.3,121921.15,103834.36,95176.53,147818.77
FGF R5,10302.5,22581.64,17553.9,14035.14,13593.96,11526.0,14586.6,8151.41,9072.33,8868.29,9862.71,13751.54,15662.02,3851.91,68779.35,68791.6,105479.51
FGF-4,3990.75,7056.86,16569.79,3839.25,14851.54,7333.04,4828.6,5433.79,4769.96,1062.73,1806.52,2206.5,6764.39,1444.5,42427.52,50729.83,99639.28
FGF-5,9652.25,14057.51,22786.45,13097.47,13474.62,15326.54,22784.47,16778.09,9046.87,17071.35,19789.98,17949.53,28314.12,10745.99,42787.86,48804.26,72730.26
FGF-6,14606.25,29692.79,34806.37,22306.04,30638.35,12832.71,12669.26,6015.48,11028.15,14002.1,11210.48,46483.46,65552.13,15794.28,75022.83,85736.29,161653.92
FGF-7 / KGF,5575.0,6794.46,20332.0,9033.48,15332.89,9189.36,6273.79,6900.18,7482.27,2016.4,10529.26,9491.96,11439.28,2093.06,56778.51,66960.45,134848.94
FGF-8,3840.5,14375.05,5877.22,13443.21,7414.18,3720.96,4841.23,1562.95,3091.37,1499.96,2402.31,5744.27,24117.92,3763.59,15830.3,17984.93,24281.48
FGF-9,36738.75,118527.8,82022.69,61889.64,52362.79,46966.26,87275.79,80789.78,65820.4,92952.15,68574.56,68899.4,86023.67,43435.46,88248.68,100430.46,168946.89
FGF-10 / KGF-2,7125.5,13090.53,6922.16,10786.18,7651.8,6909.79,8512.21,2833.9,8823.36,12358.4,6734.35,11957.82,6005.7,1323.62,43433.84,53620.84,138148.01
FGF-11,5468.25,9739.57,1.17,8042.19,6280.73,8476.44,5593.1,2983.24,7758.57,7113.61,4004.69,22703.13,27994.05,11895.46,19869.54,24826.81,47050.88
FGF-12,7697.5,11872.55,12285.69,13155.76,20160.25,11634.88,8018.07,7472.59,6190.92,5463.17,11697.14,13070.12,18898.29,3758.9,54906.36,61435.53,85670.04
FGF-13 1B,51514.5,109853.03,61057.99,71248.58,51266.37,97732.62,82717.11,64025.9,88510.8,115663.39,68814.51,83583.12,79797.81,41339.91,61505.15,59669.37,66047.6
FGF-16,26254.5,66967.66,53917.44,33973.47,53838.81,30190.03,44559.78,36882.75,44962.27,64260.33,42363.77,49140.04,70887.2,30403.77,36661.26,33250.11,34473.91
FGF-17,9841.5,11446.42,3270.16,13884.07,15737.26,9597.97,12827.3,7153.91,6411.17,12201.91,3824.52,15841.04,25869.85,7059.94,9498.95,10435.93,26313.35
FGF-18,3888.0,4958.94,3806.95,8196.3,18301.98,5229.23,2490.71,4516.61,3033.22,2761.56,1099.08,5530.81,16490.7,2441.91,8630.41,12536.03,12668.61
FGF-19,269.5,0.85,5125.54,3427.77,11194.4,1609.28,928.63,1292.12,321.14,0.96,1.13,0.88,4479.86,1.1,19308.7,18491.36,49441.81
FGF-20,7890.25,17181.15,6906.95,9765.99,2123.59,8098.87,12001.64,2219.74,6220.59,10129.89,4154.97,13672.07,12793.23,3110.61,50675.14,40668.31,56645.01
FGF-21,796.0,405.01,5850.33,2207.78,5630.23,2281.33,2458.71,575.89,890.09,0.96,1.13,886.26,1.13,1.1,17090.91,20756.18,58875.57
FGF-23,3241.0,4656.19,9497.06,2962.9,7376.62,6246.05,2836.6,5681.43,5478.81,1514.89,3672.54,2019.09,10685.4,864.11,26368.86,32057.81,63821.55
