Protein,A0,A1,A2,B0,B2,C0,C2,C3,D0,D2,D3,E0,E1,E2,F0,F1,F2
IL-1 R3 / IL-1 R AcP,5295.0,9440.83,14644.82,15364.24,28514.5,10803.02,13081.55,14912.99,5753.94,9646.92,12724.33,6251.96,14534.71,4044.27,33813.36,34894.06,21535.63
IL-1 R4 / ST2,881.0,584.59,3035.68,2826.52,3188.32,726.7,0.87,1.16,28.73,0.96,1.13,0.88,3767.75,1.1,17902.56,18286.99,44599.48
IL-1 R6 / IL-1 Rrp2,7933.75,13898.0,5398.91,7699.02,620.67,7612.66,12944.41,2498.11,3674.8,11623.11,2667.35,11620.75,7084.74,2092.51,81102.98,91616.0,107617.67
IL-1 R8,541.0,365.92,2465.56,2815.79,3654.75,2662.39,2202.72,1157.57,545.83,175.04,1.13,504.61,1.13,1.1,33214.21,33273.0,65488.37
IL-1 R9,2068.75,3668.5,4712.42,3084.13,3495.72,4478.27,4899.13,1579.19,2010.47,2203.47,466.93,2752.6,1342.38,1.1,64067.03,68456.44,98319.5
IL-1 ra,4789.0,12016.64,20374.69,6476.47,24106.95,15546.04,8471.72,63828.43,5055.6,7580.93,5775.97,6571.15,43540.63,47970.7,79187.09,90852.07,123391.56
IL-1 sRI,1111.25,1677.49,3754.91,8108.4,18547.58,4953.11,312.81,2834.48,2912.47,0.96,836.01,528.01,30536.27,2061.88,24245.51,29851.03,38381.04
IL-1 sRII,2980.5,4937.39,10211.9,8656.97,10314.28,6127.12,5436.15,2403.29,2575.21,3744.36,3529.3,6083.98,18529.39,1961.42,30808.7,35082.07,60355.34
IL-2,25905.75,51053.51,43668.11,27947.65,19062.76,27563.06,41599.96,14265.19,25911.87,33650.59,32825.32,69524.76,87015.49,31187.29,39170.89,42368.67,54710.41
IL-2 R alpha,3348.5,6194.45,14117.97,1732.42,18358.45,10105.17,3859.49,4443.25,2922.28,0.96,4497.56,6850.83,33779.04,4675.72,39896.99,66996.42,136555.19
IL-2 R beta/CD122,6265.5,6329.45,7956.27,6935.27,14008.98,6929.03,7717.02,2995.99,4513.28,2376.82,2458.98,3586.11,4114.91,203.12,56703.43,66488.77,152374.52
IL-2 R gamma,5207.75,3532.86,14784.28,9238.4,18786.79,3123.46,6341.05,2350.52,5957.37,3088.04,6354.55,1989.73,12771.5,1641.28,39592.0,48590.9,104721.97
IL-3,12041.0,12106.22,31465.17,5967.3,8607.31,3948.76,757.53,215.74,635.28,0.96,5594.1,99.77,12125.15,1097.59,33804.46,39973.86,74135.29
